MARKET,BBG,ID_BB_GLOBAL,QT_SPEC,CALENDAR_CODE
ILSUSD,ILSUSD BGN Curncy,BBG0013HHDB7,6,FD
INRAUD,INRAUD BGN Curncy,BBG0013HNXX2,6,AU
INRCAD,INRCAD BGN Curncy,BBG0013HV2T6,4,CA
INREUR,INREUR BGN Curncy,BBG0013HMNC8,5,TE
INRGBP,INRGBP BGN Curncy,BBG0013HJ675,6,GB
INRJPY,INRJPY BGN Curncy,BBG0013HNZ49,4,JN
INRUSD,INRUSD BGN Curncy,BBG0013HQ070,6,FD
JPYAUD,JPYAUD BGN Curncy,BBG0013HKVC2,4,AU
JPYBRL,JPYBRL BGN Curncy,BBG0013HT4K4,5,B$
JPYCAD,JPYCAD BGN Curncy,BBG0013HJFH4,7,CA
JPYCHF,JPYCHF BGN Curncy,BBG0013HKNF7,4,SZ
JPYCLP,JPYCLP BGN Curncy,BBG0013HXM10,5,CL
JPYCNH,JPYCNH BGN Curncy,BBG001736GN6,4,C+
JPYCNY,JPYCNY BGN Curncy,BBG0013HR7C8,6,C%
JPYCZK,JPYCZK BGN Curncy,BBG0013HQC38,4,CZ
JPYEUR,JPYEUR BGN Curncy,BBG0013HQ1G8,5,TE
JPYGBP,JPYGBP BGN Curncy,BBG0013HM564,4,GB
JPYHKD,JPYHKD BGN Curncy,BBG0013HNFZ9,4,$H
JPYHUF,JPYHUF BGN Curncy,BBG0013HPZX5,4,H$
JPYILS,JPYILS BGN Curncy,BBG0013HZ784,4,IX
JPYINR,JPYINR BGN Curncy,BBG0013HHKZ5,4,RB
JPYKRW,JPYKRW BGN Curncy,BBG0013HP8L8,4,K%
JPYMXN,JPYMXN BGN Curncy,BBG0013HTPY2,3,MX
JPYNOK,JPYNOK BGN Curncy,BBG0013HLVQ6,4,NO
JPYNZD,JPYNZD BGN Curncy,BBG0013HM5H2,5,NZ
JPYPLN,JPYPLN BGN Curncy,BBG0013HNHP6,4,PD
JPYRUB,JPYRUB BGN Curncy,BBG0013HQ524,4,R$
JPYSEK,JPYSEK BGN Curncy,BBG0013HMP24,4,SW
JPYSGD,JPYSGD BGN Curncy,BBG0013HM3K3,4,SI
JPYTRY,JPYTRY BGN Curncy,BBG0013HSR06,5,TU
JPYTWD,JPYTWD BGN Curncy,BBG0013HHT59,4,T+
JPYUSD,JPYUSD BGN Curncy,BBG0013HK6G3,6,FD
JPYZAR,JPYZAR BGN Curncy,BBG0013HMN47,4,SA
KESUSD,KESUSD BGN Curncy,BBG0013HS238,4,FD
KRWAUD,KRWAUD BGN Curncy,BBG0013HM2N2,6,AU
KRWCAD,KRWCAD BGN Curncy,BBG0013HVQW9,7,CA
KRWEUR,KRWEUR BGN Curncy,BBG0013HT5S3,5,TE
KRWGBP,KRWGBP BGN Curncy,BBG0013HPBS4,4,GB
KRWUSD,KRWUSD BGN Curncy,BBG0013HQ052,5,FD
MXNAUD,MXNAUD BGN Curncy,BBG0013HP2J4,4,AU
MXNCAD,MXNCAD BGN Curncy,BBG0013HJBW6,4,CA
MXNEUR,MXNEUR BGN Curncy,BBG0013HVSJ0,4,TE
MXNGBP,MXNGBP BGN Curncy,BBG0013HP5Y0,4,GB
MXNUSD,MXNUSD BGN Curncy,BBG0013HSXX7,5,FD
MYRUSD,MYRUSD BGN Curncy,BBG0013HNSP2,4,FD
NGNUSD,NGNUSD BGN Curncy,BBG0013HZ935,4,FD
NOKAUD,NOKAUD BGN Curncy,BBG0013HLSX5,4,AU
NOKCAD,NOKCAD BGN Curncy,BBG0013HSZZ0,4,CA
NOKEUR,NOKEUR BGN Curncy,BBG0013HQH37,4,TE
